iter	RMSE
0	443.0849496
1	422.9474913
2	404.9145317
3	387.6167652
4	371.3370727
5	356.6748079
6	343.2197918
7	330.7692133
8	318.8212522
9	308.2578999
10	298.8253533
11	289.5976864
12	281.6469752
13	274.3509598
14	267.2273797
15	260.6888301
16	254.7184049
17	249.8242524
18	244.6976685
19	240.6096657
20	236.6472844
21	232.842138
22	229.3917003
23	226.5276772
24	223.7406611
25	220.9807162
26	218.6727804
27	216.5508704
28	214.5685739
29	212.8013059
30	210.9969652
31	209.3910189
32	208.1249316
33	206.7847711
34	205.5450257
35	204.5162258
36	203.4081381
37	202.577873
38	201.7930397
39	201.0205976
40	200.0948895
41	199.4140373
42	198.682396
43	197.9791161
44	197.4754193
45	196.9666841
46	196.4478937
47	195.8062868
48	195.2094183
49	194.7106859
50	194.2494692
51	193.9460248
52	193.4853824
53	193.0875
54	192.7037567
55	192.3057562
56	191.893172
57	191.3430534
58	190.9857287
59	190.5969691
60	190.2876833
61	189.9389843
62	189.5598744
63	189.273028
64	189.0199127
65	188.741515
66	188.3744111
67	188.0835353
68	187.8259862
69	187.5523331
70	187.2559642
71	187.008921
72	186.7564341
73	186.5298224
74	186.2483693
75	186.066408
76	185.8582693
77	185.5999082
78	185.3512861
79	185.0712084
80	184.8736191
81	184.5618211
82	184.3865752
83	184.1562514
84	183.8926068
85	183.7048274
86	183.4404418
87	183.2689353
88	183.1251737
89	182.909108
90	182.7520849
91	182.5805242
92	182.2702981
93	182.1083223
94	181.7913428
95	181.4425626
96	181.2527429
97	181.072801
98	180.9427656
99	180.797614
100	180.6736948
101	180.5602189
102	180.3862939
103	180.1372354
104	179.8615275
105	179.6662457
106	179.5501402
107	179.3232274
108	179.1049373
109	178.9599334
110	178.776727
111	178.575205
112	178.3746762
113	178.2498105
114	178.1454091
115	178.0233876
116	177.9419304
117	177.75532
118	177.596963
119	177.3949542
120	177.2345907
121	177.0978831
122	176.9451435
123	176.7766845
124	176.6652863
125	176.5150478
126	176.2890603
127	176.0825342
128	175.9647268
129	175.817926
130	175.6543901
131	175.520583
132	175.4024457
133	175.2748085
134	175.1360862
135	175.0094048
136	174.8844638
137	174.7501194
138	174.6388882
139	174.4271445
140	174.2711017
141	174.0858176
142	173.9696522
143	173.857522
144	173.674078
145	173.4445546
146	173.3048378
147	173.164428
148	172.9677219
149	172.7973087
150	172.6706601
151	172.5677064
152	172.4721939
153	172.3604534
154	172.1624799
155	172.0662389
156	171.8558592
157	171.772814
158	171.657933
159	171.5469588
160	171.3741727
161	171.2536138
162	171.114529
163	171.0254214
164	170.9222928
165	170.8470348
166	170.7329065
167	170.5315433
168	170.4278628
169	170.3561861
170	170.2045243
171	170.0481164
172	169.9072465
173	169.7305462
174	169.588066
175	169.4383177
176	169.3409098
177	169.2200093
178	169.1082537
179	169.0449976
180	168.9838618
181	168.9229855
182	168.7697418
183	168.6279558
184	168.4796251
185	168.3536078
186	168.1761464
187	168.0824406
188	167.8720244
189	167.725961
190	167.535073
191	167.4376544
192	167.328577
193	167.2764347
194	167.1130296
195	166.9242911
196	166.8269718
197	166.6589299
198	166.4899764
199	166.3858336
200	166.2814856
201	166.1399128
202	165.9996714
203	165.9241507
204	165.7423424
205	165.696385
206	165.5298859
207	165.4352908
208	165.306191
209	165.1944518
210	165.1054428
