iter	Passed	Remaining
0	25	25139
1	37	18927
2	58	19529
3	79	19751
4	109	21776
5	129	21512
6	148	21092
7	166	20700
8	175	19269
9	182	18076
10	188	16961
11	195	16094
12	201	15294
13	208	14677
14	214	14069
15	220	13590
16	227	13171
17	242	13252
18	247	12772
19	251	12347
20	256	11937
21	260	11578
22	265	11265
23	269	10970
24	274	10694
25	279	10452
26	284	10249
27	290	10069
28	295	9890
29	311	10075
30	327	10250
31	343	10395
32	351	10297
33	358	10186
34	364	10054
35	370	9923
36	375	9769
37	380	9622
38	384	9467
39	388	9330
40	393	9198
41	397	9068
42	401	8944
43	405	8820
44	410	8702
45	414	8591
46	418	8483
47	422	8380
48	426	8281
49	430	8185
50	434	8090
51	438	7999
52	442	7909
53	446	7829
54	451	7750
55	455	7672
56	459	7596
57	463	7523
58	467	7452
59	472	7397
60	476	7341
61	487	7374
62	493	7341
63	498	7297
64	505	7268
65	518	7340
66	523	7291
67	528	7243
68	532	7190
69	537	7141
70	542	7099
71	557	7185
72	564	7164
73	570	7139
74	576	7106
75	582	7082
76	595	7135
77	616	7284
78	622	7258
79	627	7218
80	633	7183
81	637	7140
82	642	7102
83	648	7066
84	652	7026
85	666	7083
86	673	7068
87	680	7053
88	685	7021
89	691	6995
90	704	7037
91	712	7027
92	719	7013
93	724	6981
94	732	6979
95	738	6951
96	742	6915
97	747	6876
98	751	6840
99	756	6807
100	760	6773
101	765	6736
102	770	6706
103	774	6675
104	779	6644
105	784	6612
106	788	6582
107	793	6552
108	797	6520
109	808	6537
110	816	6542
111	826	6550
112	832	6531
113	837	6506
114	843	6489
115	849	6471
116	854	6448
117	859	6427
118	865	6404
119	870	6380
120	875	6360
121	879	6329
122	884	6306
123	888	6276
124	892	6250
125	896	6220
126	901	6197
127	905	6168
128	909	6141
129	913	6114
130	918	6089
131	922	6062
132	926	6037
133	930	6013
134	934	5988
135	938	5963
136	942	5939
137	946	5914
138	950	5889
139	955	5866
140	959	5843
141	963	5820
142	968	5803
143	977	5808
144	981	5788
145	987	5775
146	991	5753
147	996	5734
148	1000	5716
149	1006	5703
150	1011	5685
151	1015	5666
152	1020	5651
153	1041	5722
154	1055	5751
155	1062	5747
156	1069	5741
157	1075	5732
158	1082	5727
159	1090	5723
160	1095	5706
161	1106	5722
162	1112	5712
163	1117	5696
164	1121	5677
165	1126	5658
166	1131	5641
167	1148	5686
168	1154	5678
169	1160	5667
170	1167	5658
171	1172	5643
172	1177	5628
173	1182	5614
174	1187	5600
175	1193	5587
176	1197	5568
177	1202	5552
178	1206	5533
179	1210	5514
180	1214	5495
181	1218	5477
182	1222	5458
183	1226	5440
184	1230	5421
185	1234	5404
186	1239	5388
187	1244	5373
188	1249	5360
189	1254	5348
190	1259	5335
191	1264	5323
192	1270	5311
193	1274	5294
194	1278	5277
195	1283	5264
196	1287	5247
197	1291	5231
198	1295	5215
199	1299	5198
200	1303	5182
201	1307	5166
202	1311	5150
203	1315	5134
204	1320	5119
205	1323	5102
206	1328	5088
207	1332	5073
208	1336	5058
209	1341	5045
210	1345	5032
211	1350	5018
212	1355	5006
213	1359	4994
214	1364	4981
215	1369	4970
216	1374	4958
217	1379	4946
218	1383	4934
219	1388	4922
220	1393	4912
221	1398	4899
222	1402	4886
223	1407	4875
224	1412	4864
225	1416	4850
226	1421	4840
227	1426	4830
228	1432	4821
229	1436	4810
230	1441	4798
231	1445	4785
232	1449	4773
233	1453	4759
234	1458	4749
235	1463	4737
236	1468	4727
237	1473	4716
238	1478	4706
239	1483	4697
240	1488	4687
241	1493	4677
242	1498	4666
243	1503	4658
244	1508	4647
245	1513	4638
246	1517	4626
247	1522	4617
248	1527	4608
249	1543	4630
250	1561	4659
251	1572	4668
252	1582	4671
253	1605	4715
254	1614	4715
255	1621	4713
256	1629	4711
257	1638	4711
258	1644	4705
259	1656	4713
260	1671	4731
261	1677	4726
262	1683	4718
263	1689	4710
264	1695	4701
265	1700	4691
266	1705	4681
267	1710	4671
268	1715	4662
269	1720	4650
270	1724	4639
